ài,愛する
bā,八
bàba,お父さん
bēizi,コップ
běijīng,北京
běn,ノート
bù,ではありません（否定）
bù kèqì,どういたしまして
cài,料理
chá,お茶
chī,食べる
chūzū chē,タクシー
dǎ diànhuà,電話をする
dà,大きい
de,の
diǎn,点、時
diànnǎo,パソコン
diànshì,テレビ
diànyǐng,映画
dōngxī,事、物
dōu,全て
dú,読む
duìbùqǐ,すみません
duō,もっと
duōshǎo,どの位
érzi,息子
èr,二つ
fànguǎn,レストラン
fēijī,航空機
fēnzhōng,分
gāoxìng,幸せ、嬉しい
gè,個
gōngzuò,仕事
gǒu,犬
hànyǔ,中国語
hǎo,良い、とても
hē,飲む
hé,と
hěn,非常に
hòumiàn,後ろ
huí,帰る
huì,できる
huǒchē zhàn,鉄道駅
jǐ,どのくらい
jiā,家
jiào,呼ぶ
jīntiān,今日
jiǔ,九つ
kāi,開ける
kàn,見る
kànjiàn,見かける
kuài,塊
lái,来る
lǎo shī,教師
le,過去形を表す
lěng,冷たい
lǐ,〜の中
líng,ゼロ
liù,六
māmā,お母さん
ma,疑問を表す
mǎi,購入する
māo,猫
méi,ではない（過去形の否定）
méiguānxì,気にしないで
mǐfàn,米
míngtiān,明日
míngzì,名前
nǎ,どの、どんな
nǎ'er,どこ
nà,その
nà'er,そこ
ne,疑問を表す表現
néng,できる
nǐ,あなた
nián,年
nǚ'ér,娘
péngyǒu,友人
piàoliang,美しい
píngguǒ,リンゴ
qī,七
qián,お金
qiánmiàn,前
qǐng,してください
qù,行く
rè,熱い
rén,人々
rènshì,知っている
rì,日
sān,三つ
shāngdiàn,お店
shàng,上の
shàngwǔ,朝
shǎo,少ない
shéi,誰
shénme,何
shí,十
shíhòu,～の時
shì,～である
shū,本
shuǐ,水
shuǐguǒ,果物
shuìjiào,寝る
shuōhuà,話す
sì,四
suì,歳
tā,彼
tā,彼女
tài,かなり
tiānqì,天気
tīng,聞く
tóngxué,同級生
wèi,もしもし
wǒ,私
wǒmen,私たち
wǔ,五
xǐhuān,好き
xià,下
xià wǔ,午後
xià yǔ,雨が降る
xiānshēng,〜さん
xiànzài,今
xiǎng,したい
xiǎo,小さな
xiǎojiě,若い女性
xiē,一部
xiě,書く
xièxiè,ありがとう
xīngqí,週
xuéshēng,学生
xuéxí,勉強する
xuéxiào,学校
yī,1
yīfú,服
yīshēng,医者
yīyuàn,病院
yǐzi,椅子
yǒu,持っている
yuè,月
zài,どこどこで
zàijiàn,さようなら
zěnme,どのように
zěnme yàng,どうですか？
zhè,これ
zhè'er,ここに
zhōngguó,中国
zhōngwǔ,正午
zhù,住んでいる
zhuōzi,机
zì,字
zuótiān,昨日
zuò,する
zuò,座る
